地名,センター,もやせるごみ,もやさないごみ・有害ごみ,ペットボトル,古紙,びん
高志保（村道、読谷クリニック～たてまつ南側）,読谷環境,月 木,金,火1 火3,火2 火4,土1 土3
長浜（村道、長浜ゼネラル石油～座喜味城址公園入口南側）,読谷環境,月 木,金,火1 火3,火2 火4,土1 土3
波平（村道、波平東門付近～座喜味城址公園入口沿）,読谷環境,月 木,水,火1 火3,火2 火4,土1 土3
上地,読谷環境,月 木,水,火1 火3,火2 火4,土1 土3
高志保（村道、波平東門付近～座喜味城址公園入口沿）,読谷環境,月 木,水,火1 火3,火2 火4,土1 土3
長浜,読谷環境,月 木,水,金1 金3,金2 金4,土1 土3
瀬名波,読谷環境,月 木,水,金1 金3,金2 金4,土1 土3
渡慶次,読谷環境,月 木,水,金1 金3,金2 金4,土1 土3
儀間,読谷環境,月 木,水,金1 金3,金2 金4,土1 土3
宇座,読谷環境,月 木,水,金1 金3,金2 金4,土1 土3
座喜味,読谷環境,火 金,水,月1 月3,月2 月4,土1 土3
楚辺,読谷協同産業,火 金,水,月1 月3,月2 月4,土1 土3
波平（大当地域）,読谷協同産業,火 金,水,月1 月3,月2 月4,土1 土3
座喜味（商工会周辺）,読谷協同産業,火 金,水,月1 月3,月2 月4,土1 土3
都屋,読谷協同産業,火 金,水,月1 月3,月2 月4,土1 土3
渡具知,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
古堅,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
大湾,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
比謝,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
比謝矼,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
伊良皆（県道６号線南側）,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
大木（県道６号線南側）,リサイクルセンター沖縄,月 木,金,水1 水3,水2 水4,土2 土4
座喜味（トーガー地域／横田屋地域）,読谷サニタリー,火 金,月,木1 木3,木2 木4,土2 土4
喜名,読谷サニタリー,火 金,月,木1 木3,木2 木4,土2 土4
伊良皆（県道６号線北側）,読谷サニタリー,火 金,月,木1 木3,木2 木4,土2 土4
大木（県道６号線北側）,読谷サニタリー,火 金,月,木1 木3,木2 木4,土2 土4
